Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,WTA Rank,Log diff,yElo
Aryna Sabalenka,1,26.5,2164.8,,1,2110.9,2,2065.2,1,1955.5,,2180.9,2024-10,,1,0,2191.9
Iga Swiatek,2,23.4,2144.3,,2,2072.4,1,2087.1,3,1865.0,,2286.8,2024-07,,2,0,2200.4
Coco Gauff,3,20.6,2094.3,,3,2058.9,4,1985.8,2,1869.5,,2150.3,2024-01,,3,0,2109.6
Qinwen Zheng,4,22.0,2083.4,,4,2028.7,3,2015.0,29,1706.4,,2095.1,2024-11,,5,-0.22,2106.0
Paula Badosa,5,26.9,2009.4,,6,1960.9,5,1892.2,6,1813.5,,2080.2,2022-01,,12,-0.88,2056.3
Elena Rybakina,6,25.4,1997.4,,8,1947.0,6,1890.6,4,1839.9,,2148.5,2024-04,,6,0,2064.8
Karolina Muchova,7,28.1,1995.1,,5,1963.1,10,1835.0,21,1741.8,,2021.8,2023-08,,22,-1.15,2085.4
Jessica Pegula,8,30.6,1990.3,,7,1948.0,12,1818.8,10,1797.3,,2088.6,2024-01,,7,0.13,1996.5
Jasmine Paolini,9,28.8,1953.1,,9,1884.1,8,1866.5,14,1765.1,,1977.5,2024-07,,4,0.81,1968.8
Diana Shnaider,10,20.5,1937.4,,10,1880.9,11,1823.7,8,1799.4,,1970.2,2024-08,,13,-0.26,1950.7
Mirra Andreeva,11,17.4,1927.1,,14,1853.3,7,1881.6,32,1690.0,,1993.3,2024-05,,16,-0.37,1918.3
Beatriz Haddad Maia,12,28.4,1913.6,,11,1869.6,14,1812.5,15,1764.8,,1928.1,2023-08,,17,-0.35,1948.4
Emma Raducanu,13,22.0,1913.1,,20,1831.9,39,1735.7,17,1760.4,,2000.5,2021-08,,59,-1.51,1922.9
Daria Kasatkina,14,27.4,1906.7,,18,1839.7,9,1836.2,9,1797.5,,2041.1,2018-03,,9,0.44,1893.8
Barbora Krejcikova,15,28.8,1902.6,,15,1850.8,34,1745.8,5,1836.8,,2045.0,2021-08,,10,0.41,1898.3
Anna Kalinskaya,16,25.8,1898.3,,12,1866.1,43,1732.5,20,1743.4,,1958.9,2024-02,,14,0.13,1881.9
Elina Svitolina,17,29.9,1897.1,,17,1842.6,15,1808.1,19,1747.3,,2109.0,2018-05,,23,-0.30,1923.4
Yulia Putintseva,18,29.8,1894.5,,24,1822.6,13,1813.4,13,1766.7,,1917.4,2024-08,,29,-0.48,1937.3
Liudmila Samsonova,19,25.9,1886.7,,22,1827.5,28,1754.6,16,1761.9,,1985.2,2023-10,,27,-0.35,1859.7
Donna Vekic,20,28.2,1886.4,,25,1811.1,17,1793.0,12,1773.9,,1946.5,2019-08,,19,0.05,1922.1
Amanda Anisimova,21,23.1,1886.1,,13,1859.1,42,1732.9,35,1685.4,,2005.1,2022-08,,36,-0.54,1949.2
Jelena Ostapenko,22,27.2,1877.2,,19,1834.7,18,1792.1,7,1813.3,,2032.4,2022-02,,15,0.38,1769.2
Leylah Fernandez,23,22.1,1860.9,,23,1824.3,40,1733.8,23,1731.4,,1971.3,2022-03,,31,-0.30,1844.6
Danielle Collins,24,30.9,1856.5,,27,1806.3,16,1802.9,41,1678.2,,2066.1,2024-05,,11,0.78,1904.8
Anastasia Pavlyuchenkova,25,33.1,1855.0,,21,1831.8,25,1760.0,51,1647.3,,2062.7,2011-05,,30,-0.18,1846.3
Katie Boulter,26,28.2,1849.6,,26,1808.5,104,1620.9,11,1776.1,,1886.3,2024-02,,24,0.08,1862.1
Naomi Osaka,27,26.9,1846.2,,28,1803.2,52,1713.4,44,1661.3,,2195.3,2021-03,,60,-0.80,1885.8
Linda Noskova,28,19.9,1845.7,,16,1848.5,57,1703.2,67,1627.6,,1930.1,2024-04,,26,0.07,1832.3
Anastasia Potapova,29,23.5,1841.0,,33,1789.0,21,1775.4,27,1707.2,,1913.6,2023-06,,35,-0.19,1824.1
