Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.2,2309.3,,1,2275.2,1,2142.2,1,2075.6,,2309.3,2024-11,,1,0,
Novak Djokovic,2,37.6,2183.6,,2,2135.1,3,2092.8,3,2047.3,,2470.4,2016-03,,7,-1.25,
Carlos Alcaraz,3,21.5,2155.5,,3,2081.3,2,2111.6,2,2067.0,,2239.3,2023-08,,3,0,
Alexander Zverev,4,27.6,2087.7,,4,2033.0,4,2028.1,5,1887.1,,2161.5,2022-01,,2,0.69,
Daniil Medvedev,5,28.7,2043.6,,5,2007.8,7,1939.5,4,1902.8,,2191.6,2022-01,,5,0,
Taylor Fritz,6,27.1,2033.8,,6,1980.5,9,1930.6,6,1880.8,,2040.8,2023-04,,4,0.41,1742.3
Grigor Dimitrov,7,33.6,2022.9,,7,1974.8,10,1915.2,11,1840.3,,2091.0,2014-08,,10,-0.36,
Jack Draper,8,22.8,2000.8,,8,1946.1,26,1779.7,10,1841.6,,2018.5,2024-10,,15,-0.63,
Tomas Machac,9,24.1,1969.6,,9,1927.2,17,1838.5,28,1731.0,,1974.6,2024-10,,26,-1.06,
Tommy Paul,10,27.4,1964.9,,10,1903.9,15,1865.5,7,1867.7,,2010.0,2024-07,,12,-0.18,
Hubert Hurkacz,11,27.8,1952.3,,13,1887.3,12,1888.2,8,1860.3,,2023.2,2024-08,,18,-0.49,
Holger Rune,12,21.6,1950.6,,11,1893.1,11,1912.8,13,1805.4,,2069.4,2023-05,,13,-0.08,
Stefanos Tsitsipas,13,26.3,1940.5,,15,1873.9,5,1970.3,17,1771.4,,2133.3,2021-05,,11,0.17,
Matteo Berrettini,14,28.7,1937.0,,26,1833.4,6,1939.8,9,1848.0,,2072.3,2022-07,,35,-0.92,
Alex De Minaur,15,25.8,1930.2,,14,1875.0,23,1812.6,14,1793.8,,2038.0,2024-06,,8,0.63,
Casper Ruud,16,26.0,1925.6,,20,1858.1,8,1938.7,48,1681.0,,2063.7,2022-05,,6,0.98,
Sebastian Korda,17,24.1,1920.6,,17,1862.0,36,1759.6,15,1789.9,,2005.0,2023-01,,22,-0.26,
Ugo Humbert,18,26.4,1912.0,,12,1892.6,28,1772.7,19,1762.2,,2009.4,2024-03,,14,0.25,
Andrey Rublev,19,27.1,1903.4,,16,1863.7,14,1882.8,16,1784.9,,2106.1,2021-04,,9,0.75,
Ben Shelton,20,22.1,1899.6,,19,1860.5,41,1749.6,33,1717.3,,1960.4,2024-10,,21,-0.05,
Karen Khachanov,21,28.6,1898.0,,21,1854.6,19,1833.5,37,1700.6,,2015.2,2018-10,,19,0.10,
Lorenzo Musetti,22,22.8,1894.1,,37,1784.4,13,1885.5,12,1826.4,,1972.5,2024-08,,16,0.32,
Gael Monfils,23,38.3,1887.0,,18,1861.1,61,1711.6,36,1702.2,,2068.0,2015-04,,52,-0.82,
Jordan Thompson,24,30.6,1881.9,,24,1844.0,100,1649.3,18,1766.0,,1881.9,2024-12,,27,-0.12,
Thanasi Kokkinakis,25,28.6,1880.6,,25,1834.6,34,1766.7,58,1658.0,,1890.5,2024-11,,77,-1.12,
Jan Lennard Struff,26,34.5,1875.1,,46,1765.9,16,1852.8,23,1752.4,,1925.7,2024-07,,42,-0.48,
Joao Fonseca,27,18.3,1873.0,,22,1854.6,57,1715.1,81,1616.5,,1873.0,2024-12,,113,-1.43,1807.7
Flavio Cobolli,28,22.6,1871.6,,23,1844.8,33,1767.1,69,1639.1,,1881.7,2024-12,,32,-0.13,
Felix Auger Aliassime,29,24.3,1868.1,,30,1804.0,18,1838.4,30,1728.1,,2052.8,2022-10,,29,0,
Arthur Fils,30,20.5,1867.3,,29,1806.2,21,1823.3,26,1740.6,,1920.0,2024-10,,20,0.41,
Jiri Lehecka,31,23.1,1863.3,,28,1807.8,46,1736.2,47,1685.0,,1908.4,2024-04,,24,0.26,1767.7
Alexei Popyrin,32,25.4,1860.6,,27,1809.7,29,1772.5,38,1698.2,,1893.4,2024-08,,25,0.25,
Rafael Nadal,33,38.4,1855.2,,47,1765.7,22,1817.7,51,1677.6,,2370.4,2009-05,,176,-1.67,
Tallon Griekspoor,34,28.3,1854.6,,32,1802.6,27,1774.7,21,1756.7,,1925.2,2022-01,,40,-0.16,
Giovanni Mpetshi Perricard,35,21.4,1844.3,,34,1794.3,55,1718.5,29,1729.2,,1865.0,2024-12,,30,0.15,1728.3
Frances Tiafoe,36,26.9,1840.7,,33,1796.2,39,1752.4,22,1752.8,,1959.8,2023-06,,17,0.75,
Francisco Cerundolo,37,26.2,1836.0,,42,1769.0,20,1826.5,52,1675.2,,1938.1,2023-07,,31,0.18,
Alex Michelsen,38,20.3,1834.9,,31,1803.0,131,1597.5,34,1703.9,,1862.0,2024-11,,41,-0.08,
Jakub Mensik,39,19.3,1833.2,,35,1787.6,37,1756.6,79,1617.6,,1912.2,2024-10,,49,-0.23,
Denis Shapovalov,40,25.7,1828.7,,36,1785.2,32,1769.2,39,1695.5,,1970.2,2020-01,,58,-0.37,
Juncheng Shang,41,19.9,1823.4,,38,1778.1,81,1679.5,46,1686.9,,1902.7,2024-09,,50,-0.20,1717.4
Roberto Bautista Agut,42,36.5,1818.1,,48,1763.8,40,1750.5,24,1750.8,,2014.6,2016-02,,51,-0.19,
Marcos Giron,43,31.2,1815.7,,40,1771.2,87,1666.4,25,1742.8,,1842.9,2021-11,,45,-0.05,
Roman Safiullin,44,27.3,1814.2,,45,1767.1,51,1727.5,35,1702.3,,1894.2,2024-01,,62,-0.34,
Reilly Opelka,45,27.3,1803.4,,39,1773.1,45,1741.2,68,1639.8,,1936.4,2022-04,,171,-1.34,1837.9
Yoshihito Nishioka,46,29.2,1802.5,,43,1768.3,73,1692.1,65,1641.4,,1891.8,2023-01,,63,-0.31,1667.6
