Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.2,2309.3,,1,2275.2,1,2142.2,1,2075.6,,2309.3,2024-11,,1,0,
Novak Djokovic,2,37.6,2183.6,,2,2135.1,3,2092.8,3,2047.3,,2470.4,2016-03,,7,-1.25,
Carlos Alcaraz,3,21.5,2155.5,,3,2081.3,2,2111.6,2,2067.0,,2239.3,2023-08,,3,0,
Alexander Zverev,4,27.6,2087.7,,4,2033.0,4,2028.1,5,1887.1,,2161.5,2022-01,,2,0.69,
Daniil Medvedev,5,28.7,2043.6,,5,2007.8,7,1939.5,4,1902.8,,2191.6,2022-01,,5,0,
Taylor Fritz,6,27.1,2033.8,,6,1980.5,9,1930.6,6,1880.8,,2040.8,2023-04,,4,0.41,1742.3
Grigor Dimitrov,7,33.6,2022.9,,7,1974.8,10,1915.2,11,1840.3,,2091.0,2014-08,,10,-0.36,
Jack Draper,8,22.8,2000.8,,8,1946.1,25,1779.7,10,1841.6,,2018.5,2024-10,,18,-0.81,
Tomas Machac,9,24.1,1969.6,,9,1927.2,18,1838.5,29,1731.0,,1974.6,2024-10,,25,-1.02,
Tommy Paul,10,27.6,1957.6,,10,1896.9,15,1861.9,7,1864.0,,2010.0,2024-07,,11,-0.10,
Hubert Hurkacz,11,27.8,1952.3,,13,1887.3,12,1888.2,8,1860.3,,2023.2,2024-08,,17,-0.44,
Holger Rune,12,21.6,1950.6,,11,1893.1,11,1912.8,13,1805.4,,2069.4,2023-05,,13,-0.08,
Stefanos Tsitsipas,13,26.3,1940.5,,16,1873.9,5,1970.3,17,1771.4,,2133.3,2021-05,,12,0.08,
Matteo Berrettini,14,28.7,1937.0,,27,1833.4,6,1939.8,9,1848.0,,2072.3,2022-07,,34,-0.89,
Alex De Minaur,15,25.8,1930.2,,15,1875.0,23,1812.6,14,1793.8,,2038.0,2024-06,,8,0.63,
Casper Ruud,16,26.0,1925.6,,19,1858.1,8,1938.7,49,1681.0,,2063.7,2022-05,,6,0.98,
Sebastian Korda,17,24.5,1919.7,,18,1861.4,37,1759.1,15,1789.5,,2005.0,2023-01,,22,-0.26,
Gael Monfils,18,38.3,1915.6,,14,1887.2,53,1725.9,33,1716.5,,2068.0,2015-04,,41,-0.82,1887.1
Ugo Humbert,19,26.4,1912.0,,12,1892.6,29,1772.7,19,1762.2,,2009.4,2024-03,,14,0.31,
Felix Auger Aliassime,20,24.4,1909.6,,23,1851.5,16,1859.2,24,1748.9,,2052.8,2022-10,,23,-0.14,1876.1
Andrey Rublev,21,27.1,1903.4,,17,1863.7,14,1882.8,16,1784.9,,2106.1,2021-04,,9,0.85,
Karen Khachanov,22,28.6,1898.0,,20,1854.6,19,1833.5,36,1700.6,,2015.2,2018-10,,19,0.15,
Thanasi Kokkinakis,23,28.7,1897.3,,22,1852.6,27,1775.0,55,1666.4,,1897.3,2025-01,,71,-1.13,
Lorenzo Musetti,24,22.8,1894.1,,37,1784.4,13,1885.5,12,1826.4,,1972.5,2024-08,,15,0.47,
Jordan Thompson,25,30.6,1881.9,,25,1844.0,100,1649.3,18,1766.0,,1881.9,2024-12,,27,-0.08,
Ben Shelton,26,22.2,1881.6,,26,1841.4,46,1740.5,34,1708.3,,1960.4,2024-10,,20,0.26,
Joao Fonseca,27,18.3,1873.0,,21,1854.6,59,1715.1,80,1616.5,,1873.0,2024-12,,112,-1.42,1807.7
Jan Lennard Struff,28,34.7,1871.9,,44,1766.7,17,1851.2,23,1750.8,,1925.7,2024-07,,43,-0.43,
Flavio Cobolli,29,22.6,1871.6,,24,1844.8,33,1767.1,68,1639.1,,1881.7,2024-12,,32,-0.10,
Arthur Fils,30,20.5,1867.3,,30,1806.2,20,1823.3,27,1740.6,,1920.0,2024-10,,21,0.36,
Jiri Lehecka,31,23.1,1863.3,,29,1807.8,48,1736.2,46,1685.0,,1908.4,2024-04,,29,0.07,1767.7
Alexei Popyrin,32,25.4,1860.6,,28,1809.7,30,1772.5,37,1698.2,,1893.4,2024-08,,24,0.29,
Rafael Nadal,33,38.4,1855.2,,45,1765.7,22,1817.7,52,1677.6,,2370.4,2009-05,,176,-1.67,
Tallon Griekspoor,34,28.3,1854.6,,33,1802.6,28,1774.7,21,1756.7,,1925.2,2022-01,,40,-0.16,
Jakub Mensik,35,19.3,1848.5,,31,1804.6,34,1764.2,73,1625.3,,1912.2,2024-10,,48,-0.32,1737.3
Giovanni Mpetshi Perricard,36,21.4,1844.3,,35,1794.3,56,1718.5,30,1729.2,,1865.0,2024-12,,30,0.18,1728.3
Frances Tiafoe,37,26.9,1840.7,,34,1796.2,39,1752.4,22,1752.8,,1959.8,2023-06,,16,0.84,
Alex Michelsen,38,20.3,1837.0,,32,1803.3,131,1598.5,35,1705.0,,1862.0,2024-11,,42,-0.10,1676.0
Nishesh Basavareddy,39,19.6,1830.1,,36,1793.7,184,1525.0,82,1615.0,,1847.9,2025-01,,107,-1.01,1844.9
Marcos Giron,40,31.4,1826.3,,38,1781.8,86,1671.7,25,1748.1,,1842.9,2021-11,,46,-0.14,
Denis Shapovalov,41,25.7,1826.1,,39,1781.0,32,1767.8,39,1694.2,,1970.2,2020-01,,56,-0.31,
Zizou Bergs,42,25.5,1825.3,,41,1774.9,47,1739.3,43,1689.7,,1836.0,2025-01,,60,-0.36,1815.0
Juncheng Shang,43,19.9,1823.4,,40,1778.1,80,1679.5,45,1686.9,,1902.7,2024-09,,50,-0.15,1717.4
Francisco Cerundolo,44,26.4,1820.6,,54,1747.6,21,1818.9,54,1667.5,,1938.1,2023-07,,31,0.35,
Roberto Bautista Agut,45,36.7,1809.1,,51,1754.2,41,1746.0,26,1746.4,,2014.6,2016-02,,53,-0.16,
