Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2214.6,,1,2180.7,3,2041.3,3,1969.0,,2329.6,2025-01,,1,0,2012.2
Carlos Alcaraz,2,21.9,2167.3,,3,2089.4,1,2130.4,1,2075.7,,2243.6,2023-08,,2,0,2099.4
Novak Djokovic,3,37.8,2159.9,,2,2113.9,2,2075.8,2,2036.4,,2463.2,2016-05,,5,-0.51,1908.0
Jack Draper,4,23.2,2057.7,,5,2014.7,26,1815.9,5,1878.6,,2095.2,2025-03,,6,-0.41,2036.0
Alexander Zverev,5,27.9,2054.9,,4,2018.4,4,1991.5,8,1876.1,,2176.5,2022-01,,3,0.51,1870.3
Taylor Fritz,6,27.3,2022.2,,6,1970.0,9,1928.2,6,1878.4,,2054.0,2025-01,,4,0.41,1930.5
Daniil Medvedev,7,29.1,2005.5,,7,1962.3,10,1921.1,4,1898.7,,2201.2,2022-01,,9,-0.25,1903.9
Alex De Minaur,8,26.1,1995.6,,9,1933.3,14,1887.1,12,1832.8,,2053.1,2024-06,,7,0.13,2009.9
Grigor Dimitrov,9,33.8,1994.1,,8,1945.0,11,1911.2,13,1817.9,,2111.5,2014-08,,17,-0.64,1919.6
Lorenzo Musetti,10,23.0,1973.3,,28,1854.8,7,1951.2,7,1878.0,,1980.1,2024-08,,11,-0.10,2024.1
Joao Fonseca,11,18.5,1971.8,,10,1932.7,20,1841.5,55,1666.4,,1992.5,2025-03,,59,-1.68,1995.0
Tommy Paul,12,27.8,1969.4,,14,1915.0,18,1868.5,10,1872.8,,2008.2,2024-08,,12,0,1903.9
Jakub Mensik,13,19.5,1961.0,,11,1922.0,27,1810.2,50,1682.4,,1961.0,2025-03,,23,-0.57,2042.9
Tomas Machac,14,24.4,1960.5,,12,1921.0,24,1828.9,25,1744.8,,1972.7,2025-04,,20,-0.36,1957.5
Stefanos Tsitsipas,15,26.6,1957.4,,17,1892.2,5,1979.1,18,1782.7,,2145.1,2021-05,,16,-0.06,1921.2
Arthur Fils,16,20.8,1957.2,,18,1889.2,12,1909.2,14,1814.7,,1964.8,2025-04,,14,0.13,1976.6
Matteo Berrettini,17,28.9,1956.2,,19,1875.0,6,1954.7,9,1874.2,,2065.7,2022-07,,33,-0.66,1935.1
Ugo Humbert,18,26.7,1939.1,,13,1917.7,33,1784.7,20,1779.5,,2017.7,2024-03,,21,-0.15,1843.6
Holger Rune,19,21.9,1934.8,,15,1898.1,17,1874.8,15,1797.3,,2082.0,2023-05,,13,0.38,1848.7
Hubert Hurkacz,20,28.0,1930.6,,20,1870.3,15,1881.5,11,1833.0,,2022.5,2024-06,,28,-0.34,1790.1
Gael Monfils,21,38.5,1927.7,,16,1892.5,48,1744.4,33,1722.6,,2087.1,2016-10,,43,-0.72,1933.3
Casper Ruud,22,26.2,1927.5,,23,1865.9,8,1937.2,47,1687.0,,2071.9,2022-05,,10,0.79,1865.7
Francisco Cerundolo,23,26.6,1916.7,,27,1860.2,16,1880.7,35,1717.0,,1948.1,2023-07,,22,0.04,1958.4
Jiri Lehecka,24,23.4,1912.4,,26,1862.0,35,1776.3,40,1706.2,,1966.5,2025-02,,26,-0.08,1890.8
Andrey Rublev,25,27.4,1912.3,,21,1869.0,13,1887.7,16,1794.9,,2122.1,2021-04,,8,1.14,1840.6
Tallon Griekspoor,26,28.7,1908.1,,24,1864.6,28,1810.1,17,1784.9,,1936.3,2025-03,,37,-0.35,1908.6
Denis Shapovalov,27,25.9,1904.2,,22,1866.6,31,1795.8,26,1736.5,,1983.2,2020-01,,29,-0.07,1904.0
