Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,WTA Rank,Log diff,yElo
Aryna Sabalenka,1,27.3,2199.2,,1,2149.2,1,2118.9,2,1976.3,,2214.1,2025-05,,1,0,2204.4
Iga Swiatek,2,24.2,2181.8,,2,2127.9,2,2090.2,1,1986.6,,2291.0,2024-07,,2,0,2202.4
Coco Gauff,3,21.4,2086.1,,3,2023.3,3,2050.6,5,1848.8,,2155.7,2024-01,,3,0,2047.0
Elena Rybakina,4,26.2,2047.8,,5,2003.1,5,1948.8,4,1857.8,,2155.6,2024-04,,10,-0.92,2077.3
Jasmine Paolini,5,29.7,2028.0,,6,1966.3,4,1951.1,7,1823.4,,2034.9,2025-05,,8,-0.47,2063.9
Amanda Anisimova,6,23.9,2020.4,,7,1963.3,11,1847.4,3,1870.9,,2027.4,2025-08,,4,0.41,2073.8
Mirra Andreeva,7,18.3,2009.9,,4,2003.3,6,1932.2,13,1783.3,,2159.2,2025-03,,5,0.34,1974.0
Madison Keys,8,30.5,1987.4,,9,1937.6,8,1906.7,10,1801.8,,2090.1,2016-08,,6,0.29,1941.8
Jessica Pegula,9,31.5,1981.8,,8,1944.8,10,1853.2,8,1821.0,,2094.9,2024-01,,7,0.25,1945.5
Marketa Vondrousova,10,26.1,1969.8,,15,1885.0,15,1819.4,6,1837.4,,2062.5,2023-08,,35,-1.25,2066.5
Elina Svitolina,11,31.0,1969.5,,12,1895.6,7,1915.7,11,1786.0,,2120.6,2018-05,,13,-0.17,1952.0
Naomi Osaka,12,27.8,1954.1,,11,1912.5,16,1814.3,26,1731.9,,2193.3,2021-03,,14,-0.15,2030.7
Ekaterina Alexandrova,13,30.8,1953.8,,14,1889.9,12,1837.5,9,1813.7,,1977.2,2020-02,,11,0.17,1995.9
Karolina Muchova,14,29.0,1942.4,,10,1927.2,26,1794.5,33,1717.9,,2029.1,2023-08,,15,-0.07,1907.6
Victoria Mboko,15,18.9,1941.7,,13,1893.5,23,1797.5,45,1684.7,,1969.6,2025-07,,23,-0.43,1994.9
Emma Raducanu,16,22.8,1936.2,,17,1880.9,17,1812.0,16,1759.0,,1998.0,2021-08,,32,-0.69,1936.3
Anna Kalinskaya,17,26.7,1917.6,,18,1876.8,38,1766.1,24,1739.8,,1948.6,2024-04,,29,-0.53,1966.7
Qinwen Zheng,18,22.7,1916.9,,19,1868.0,9,1869.1,54,1666.3,,2098.3,2024-11,,9,0.69,1972.6
Marta Kostyuk,19,23.2,1914.2,,16,1883.5,13,1825.5,55,1666.1,,1986.1,2024-04,,28,-0.39,1930.9
Belinda Bencic,20,28.4,1910.2,,20,1863.1,42,1752.1,19,1751.6,,2100.0,2015-09,,16,0.22,1908.4
Clara Tauson,21,22.7,1901.8,,21,1857.7,31,1779.5,34,1717.9,,1949.0,2025-07,,12,0.56,1909.9
Elise Mertens,22,29.8,1899.5,,27,1834.4,14,1823.3,17,1758.2,,2042.7,2021-04,,22,0,1880.3
Linda Noskova,23,20.7,1881.4,,26,1834.5,53,1728.3,23,1742.8,,1946.1,2025-02,,27,-0.16,1874.0
Liudmila Samsonova,24,26.7,1881.1,,32,1809.3,24,1796.9,12,1785.1,,1984.3,2023-10,,21,0.13,1860.2
Tereza Valentova,25,18.5,1880.5,,22,1852.0,20,1804.4,60,1659.1,,1880.9,2025-07,,75,-1.10,1894.2
Barbora Krejcikova,26,29.7,1879.9,,24,1838.8,78,1691.2,14,1767.5,,2054.4,2021-08,,34,-0.27,1948.9
Victoria Azarenka,27,36.0,1875.3,,23,1839.1,36,1769.2,31,1719.9,,2312.3,2013-03,,138,-1.63,1779.3
Iva Jovic,28,17.7,1867.9,,39,1792.6,62,1716.6,21,1747.5,,1867.9,2025-09,,37,-0.28,1886.9
Maya Joint,29,19.4,1864.1,,38,1793.9,28,1780.8,27,1725.6,,1869.1,2025-09,,36,-0.22,1884.0
Mccartney Kessler,30,26.1,1863.2,,25,1835.0,110,1625.4,22,1744.0,,1933.3,2025-03,,39,-0.26,1862.5
Dayana Yastremska,31,25.2,1861.8,,40,1792.5,32,1773.0,29,1723.4,,1978.4,2019-02,,31,0,1907.2
Emma Navarro,32,24.3,1854.7,,33,1803.4,35,1769.9,15,1760.6,,2002.7,2024-08,,17,0.63,1815.1
Marie Bouzkova,33,27.0,1854.0,,30,1812.2,37,1768.2,50,1675.0,,1958.3,2022-10,,52,-0.45,1876.4
Diana Shnaider,34,21.4,1852.6,,36,1799.2,21,1800.9,30,1720.1,,1976.1,2024-08,,19,0.58,1825.8
Veronika Kudermetova,35,28.3,1848.8,,35,1799.8,33,1770.9,35,1715.7,,1981.1,2023-05,,30,0.15,1859.5
Katerina Siniakova,36,29.3,1845.6,,34,1803.1,63,1715.3,25,1734.3,,1950.5,2017-01,,62,-0.54,1871.1
Danielle Collins,37,31.6,1844.4,,47,1772.3,19,1808.7,47,1680.3,,2061.1,2024-05,,68,-0.61,1767.1
Sorana Cirstea,38,35.4,1843.5,,28,1826.3,52,1731.5,78,1627.0,,1928.2,2009-08,,64,-0.52,1897.3
Anastasia Pavlyuchenkova,39,34.1,1840.1,,37,1799.2,45,1743.7,36,1711.4,,2058.1,2011-05,,49,-0.23,1770.6
Taylor Townsend,40,29.3,1838.7,,31,1811.4,54,1725.5,74,1628.8,,1849.6,2025-08,,114,-1.05,1893.6
Leylah Fernandez,41,22.9,1837.6,,29,1817.1,76,1691.7,42,1690.5,,1977.3,2022-03,,25,0.49,1835.7
Jelena Ostapenko,42,28.2,1837.2,,45,1776.9,18,1810.4,18,1758.0,,2029.5,2017-10,,24,0.56,1745.5
Anastasia Potapova,43,24.4,1833.5,,46,1772.8,27,1792.4,57,1663.5,,1920.5,2023-06,,59,-0.32,1790.5
Xin Yu Wang,44,23.9,1830.5,,50,1763.5,81,1685.9,20,1750.2,,1853.9,2025-08,,33,0.29,1853.8
Janice Tjen,45,23.3,1830.2,,41,1791.6,90,1665.1,56,1665.1,,1880.0,2025-09,,102,-0.82,1841.8
Daria Kasatkina,46,28.3,1827.8,,42,1787.7,30,1780.2,32,1719.9,,2036.5,2018-03,,20,0.83,1743.1
Olga Danilovic,47,24.5,1826.3,,66,1726.0,22,1799.7,66,1643.5,,1883.7,2025-05,,43,0.09,1788.9
Maria Sakkari,48,30.1,1821.1,,44,1780.8,29,1780.5,61,1658.9,,2067.5,2022-03,,56,-0.15,1775.2
Ons Jabeur,49,30.8,1817.9,,43,1781.0,44,1744.9,41,1692.0,,2110.5,2022-06,,77,-0.45,1724.6
Sofia Kenin,50,26.8,1813.7,,53,1757.0,41,1753.6,63,1651.1,,2057.0,2020-02,,26,0.65,1769.9
Eva Lys,51,23.6,1813.5,,48,1771.5,57,1719.6,75,1628.3,,1825.1,2025-09,,66,-0.26,1833.7
Donna Vekic,52,29.1,1809.2,,52,1761.2,46,1742.6,38,1703.2,,1947.0,2019-08,,69,-0.28,1726.5
Paula Badosa,53,27.8,1806.3,,49,1768.8,59,1719.5,62,1653.2,,2078.1,2022-01,,18,1.08,1846.8
Jessica Bouzas Maneiro,54,22.9,1806.3,,61,1732.6,47,1739.5,48,1676.2,,1857.3,2025-08,,48,0.12,1819.2
Magda Linette,55,33.5,1802.8,,55,1752.7,43,1751.6,77,1627.7,,1866.6,2023-02,,38,0.37,1743.1
Katie Boulter,56,29.1,1796.5,,56,1751.4,70,1703.1,28,1724.1,,1894.3,2024-03,,54,0.04,1723.7
Caty Mcnally,57,23.8,1792.8,,65,1726.4,65,1713.9,40,1695.7,,1805.5,2019-07,,90,-0.46,1829.2
Alexandra Eala,58,20.2,1790.1,,62,1732.1,154,1560.9,39,1696.0,,1804.2,2025-09,,58,0,1826.8
Ann Li,59,25.1,1788.2,,59,1735.0,66,1711.1,111,1563.6,,1894.4,2021-03,,47,0.23,1840.4
Lois Boisson,60,22.3,1787.6,,184,1545.1,25,1795.1,122,1545.7,,1855.3,2025-07,,41,0.38,1798.3
Bianca Andreescu,61,25.1,1783.4,,54,1756.0,73,1694.4,67,1643.3,,2157.5,2019-09,,181,-1.09,1703.1
Peyton Stearns,62,23.8,1782.8,,69,1716.2,34,1770.9,123,1543.4,,1925.1,2025-05,,61,0.02,1732.8
Jaqueline Cristian,63,27.2,1781.9,,58,1739.3,51,1733.2,183,1473.8,,1816.5,2025-05,,42,0.41,1789.3
