Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Carlos Alcaraz,1,22.2,2270.1,,2,2168.4,1,2215.3,1,2138.4,,2270.1,2025-08,,2,-0.69,2329.8
Jannik Sinner,2,23.9,2238.0,,1,2188.4,2,2126.3,2,2047.4,,2329.6,2025-01,,1,0.69,2217.7
Alexander Zverev,3,28.2,2067.8,,3,2032.3,3,2006.5,5,1888.8,,2176.5,2022-01,,3,0,2055.8
Novak Djokovic,4,38.1,2064.7,,4,2016.3,4,1984.8,4,1937.6,,2463.2,2016-05,,7,-0.56,2089.6
Taylor Fritz,5,27.7,2031.6,,5,1972.1,10,1898.3,3,1939.9,,2054.0,2025-01,,4,0.22,2031.7
Ben Shelton,6,22.8,2011.9,,6,1968.1,14,1872.2,11,1821.5,,2024.4,2025-08,,6,0,2058.4
Alex De Minaur,7,26.4,1988.6,,7,1938.4,12,1891.5,10,1830.2,,2053.1,2024-06,,8,-0.13,1981.3
Tommy Paul,8,28.2,1975.4,,10,1910.2,7,1925.7,8,1840.1,,2028.8,2025-05,,14,-0.56,1933.4
Lorenzo Musetti,9,23.4,1972.6,,28,1833.7,5,1980.7,6,1852.3,,2050.5,2025-05,,10,-0.11,1946.9
Casper Ruud,10,26.6,1956.2,,15,1873.0,6,1950.2,41,1701.3,,2071.9,2022-05,,12,-0.18,1941.8
Jack Draper,11,23.5,1955.8,,8,1913.8,19,1840.9,17,1777.8,,2103.8,2025-04,,5,0.79,2030.4
Karen Khachanov,12,29.2,1945.8,,12,1888.9,15,1868.8,14,1801.0,,2029.5,2018-10,,9,0.29,1992.3
Daniil Medvedev,13,29.4,1943.4,,9,1913.0,13,1886.4,7,1850.8,,2201.2,2022-01,,13,0,1826.1
Alexander Bublik,14,28.0,1938.3,,34,1804.1,11,1893.1,9,1838.2,,1938.3,2025-07,,24,-0.54,2083.4
Jiri Lehecka,15,23.7,1936.1,,13,1878.1,26,1804.9,15,1800.5,,1966.5,2025-02,,21,-0.34,1947.1
Holger Rune,16,22.2,1936.0,,11,1900.1,9,1903.0,16,1777.9,,2082.0,2023-05,,11,0.37,1905.1
Andrey Rublev,17,27.7,1912.2,,14,1873.1,16,1864.3,12,1805.6,,2122.1,2021-04,,15,0.13,1924.1
Alejandro Davidovich Fokina,18,26.1,1909.4,,18,1857.3,22,1824.0,29,1732.5,,1934.8,2025-07,,18,0,1922.5
Stefanos Tsitsipas,19,26.9,1895.6,,21,1849.4,8,1919.2,34,1721.8,,2145.1,2021-05,,28,-0.39,1775.7
Tallon Griekspoor,20,29.0,1890.4,,25,1836.6,25,1806.9,13,1802.3,,1951.8,2025-06,,31,-0.44,1852.1
Francisco Cerundolo,21,26.9,1885.5,,20,1850.3,17,1851.1,54,1665.0,,1961.6,2025-04,,19,0.10,1854.3
Gabriel Diallo,22,23.8,1878.4,,37,1787.7,37,1765.2,23,1744.4,,1890.0,2025-06,,33,-0.41,1908.2
Sebastian Korda,23,24.8,1877.7,,24,1839.7,40,1762.0,19,1771.0,,2020.7,2023-01,,86,-1.32,1802.4
Arthur Fils,24,21.1,1872.7,,36,1795.6,18,1842.4,33,1722.4,,1985.4,2025-04,,20,0.18,1987.0
Thanasi Kokkinakis,25,28.7,1872.6,,30,1822.4,34,1771.4,65,1643.4,,1890.3,2015-06,,245,-2.28,1739.8
Grigor Dimitrov,26,34.1,1872.3,,26,1834.2,32,1773.9,35,1720.4,,2111.5,2014-08,,25,0.04,1891.0
Gael Monfils,27,38.9,1871.0,,22,1848.5,57,1724.4,45,1685.6,,2087.1,2016-10,,50,-0.62,1739.6
Joao Fonseca,28,18.9,1870.1,,17,1857.5,31,1779.4,51,1676.3,,1992.5,2025-03,,44,-0.45,1849.3
Flavio Cobolli,29,23.2,1865.1,,45,1762.0,21,1824.4,22,1744.8,,1895.6,2025-07,,26,0.11,1874.5
Jakub Mensik,30,19.9,1863.9,,19,1853.8,39,1762.4,43,1693.2,,1968.7,2025-04,,16,0.63,1842.5
Frances Tiafoe,31,27.5,1863.4,,29,1824.9,28,1796.8,30,1732.5,,1974.0,2023-06,,17,0.60,1871.6
Felix Auger Aliassime,32,24.9,1861.3,,27,1833.9,27,1801.6,31,1731.9,,2062.7,2022-10,,27,0.17,1836.0
Ugo Humbert,33,27.1,1857.6,,16,1870.2,55,1726.6,37,1714.9,,2017.7,2024-03,,23,0.36,1746.5
Tomas Machac,34,24.8,1854.2,,23,1846.4,46,1737.1,42,1700.0,,1972.7,2025-04,,22,0.44,1735.1
Brandon Nakashima,35,24.0,1846.8,,33,1809.2,47,1736.9,20,1745.7,,1909.5,2024-09,,32,0.09,1858.2
Jordan Thompson,36,31.2,1845.2,,32,1810.0,109,1641.0,21,1745.0,,1891.2,2024-12,,57,-0.46,1757.7
Matteo Berrettini,37,29.2,1836.4,,44,1765.0,20,1825.2,24,1744.0,,2065.7,2022-07,,52,-0.34,1882.6
Alex Michelsen,38,20.9,1836.3,,35,1799.6,95,1668.0,36,1715.8,,1904.8,2025-01,,30,0.24,1826.0
Hubert Hurkacz,39,28.3,1835.8,,42,1767.9,35,1771.1,25,1742.3,,2022.5,2024-06,,67,-0.54,1920.5
Alexei Popyrin,40,25.9,1835.1,,38,1787.6,29,1791.6,56,1661.7,,1902.2,2024-10,,37,0.08,1801.2
Corentin Moutet,41,26.2,1835.0,,46,1761.5,41,1744.9,27,1733.7,,1848.0,2025-07,,41,0,1875.5
Cameron Norrie,42,29.9,1826.0,,50,1749.7,23,1813.8,28,1733.7,,2028.6,2022-08,,36,0.15,1844.9
Denis Shapovalov,43,26.3,1821.9,,31,1818.0,56,1726.2,58,1656.4,,1983.2,2020-01,,29,0.39,1734.7
Matteo Arnaldi,44,24.4,1818.9,,41,1780.9,30,1787.1,94,1610.7,,1902.9,2024-06,,62,-0.34,1787.0
Luciano Darderi,45,23.4,1813.6,,180,1548.2,24,1813.7,98,1607.9,,1857.0,2024-06,,34,0.28,1866.0
Jenson Brooksby,46,24.7,1812.7,,47,1759.7,52,1732.6,38,1713.8,,2005.3,2022-03,,91,-0.68,1798.1
Marin Cilic,47,36.7,1810.4,,49,1752.4,50,1734.2,18,1776.1,,2100.4,2010-02,,61,-0.26,1841.8
Fabian Marozsan,48,25.8,1807.1,,51,1748.2,42,1743.6,102,1604.7,,1867.2,2024-04,,53,-0.10,1805.8
Roberto Bautista Agut,49,37.3,1803.5,,53,1735.8,45,1737.1,26,1735.8,,2033.8,2016-02,,47,0.04,1800.1
Learner Tien,50,19.6,1800.9,,39,1785.8,172,1552.8,67,1642.7,,1888.2,2025-02,,48,0.04,1802.8
Hamad Medjedovic,51,22.0,1799.8,,40,1782.7,48,1736.5,75,1632.6,,1844.3,2025-04,,65,-0.24,1797.9
Reilly Opelka,52,27.9,1794.2,,43,1766.7,65,1704.2,57,1657.2,,1927.5,2022-04,,66,-0.24,1805.9
Marcos Giron,53,32.0,1793.2,,48,1752.7,94,1668.3,39,1713.4,,1874.1,2025-03,,55,-0.04,1704.5
Filip Misolic,54,23.9,1786.6,,106,1643.1,38,1763.5,77,1631.0,,1829.4,2025-07,,95,-0.56,1820.6
Marton Fucsovics,55,33.4,1783.9,,57,1731.7,58,1721.7,32,1723.7,,1924.2,2021-03,,94,-0.54,1764.4
Nuno Borges,56,28.4,1777.7,,52,1736.6,43,1740.0,81,1623.2,,1843.6,2025-03,,42,0.29,1740.1
Laslo Djere,57,30.1,1775.9,,77,1687.4,33,1772.5,95,1610.5,,1854.6,2023-09,,72,-0.23,1763.1
Ethan Quinn,58,21.3,1773.7,,61,1722.0,82,1683.3,71,1634.9,,1804.0,2025-05,,81,-0.33,1783.9
Kei Nishikori,59,35.5,1772.5,,55,1733.8,103,1650.2,83,1620.4,,2194.2,2016-08,,88,-0.40,1735.4
Lorenzo Sonego,60,30.2,1771.3,,54,1734.2,81,1687.6,50,1676.6,,1895.3,2021-05,,35,0.54,1766.5
Mariano Navone,61,24.4,1770.9,,147,1590.7,36,1766.8,133,1550.3,,1875.9,2024-04,,74,-0.19,1772.6
