Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2324.8,,1,2290.5,1,2150.0,1,2083.3,,2324.8,2025-01,,1,0,2002.3
Novak Djokovic,2,37.6,2197.5,,2,2150.0,3,2099.8,3,2054.2,,2470.4,2016-03,,6,-1.10,1962.4
Carlos Alcaraz,3,21.6,2151.6,,3,2079.9,2,2109.6,2,2065.1,,2239.3,2023-08,,3,0,1746.8
Alexander Zverev,4,27.7,2101.7,,4,2049.9,4,2035.1,5,1894.2,,2161.5,2022-01,,2,0.69,1947.0
Daniil Medvedev,5,28.9,2027.7,,5,1991.0,8,1931.5,4,1894.8,,2191.6,2022-01,,7,-0.34,
Taylor Fritz,6,27.2,2027.3,,6,1974.9,9,1927.4,6,1877.5,,2040.8,2023-04,,4,0.41,1797.0
Grigor Dimitrov,7,33.6,2022.9,,7,1974.8,11,1915.2,11,1840.3,,2091.0,2014-08,,11,-0.45,
Jack Draper,8,23.0,2021.0,,8,1967.0,24,1789.8,9,1851.7,,2021.0,2025-01,,16,-0.69,1753.6
Tomas Machac,9,24.2,1977.9,,9,1936.4,18,1842.7,28,1735.2,,1979.4,2025-01,,25,-1.02,1816.0
Tommy Paul,10,27.6,1972.4,,10,1914.4,15,1869.3,7,1871.5,,2010.0,2024-07,,9,0.11,1837.5
Holger Rune,11,21.7,1960.0,,13,1901.7,10,1917.5,13,1810.1,,2069.4,2023-05,,14,-0.24,1752.8
Alex De Minaur,12,25.9,1959.2,,12,1906.9,21,1827.1,14,1808.3,,2038.0,2024-06,,8,0.41,1906.7
Hubert Hurkacz,13,27.9,1944.7,,16,1879.6,13,1884.4,8,1856.5,,2023.2,2024-08,,21,-0.48,1652.0
Gael Monfils,14,38.3,1935.5,,11,1907.5,50,1735.9,31,1726.4,,2068.0,2015-04,,32,-0.83,1994.9
Matteo Berrettini,15,28.7,1932.3,,28,1832.6,7,1937.5,10,1845.6,,2072.3,2022-07,,33,-0.79,
Ben Shelton,16,22.2,1928.1,,15,1887.2,34,1763.8,29,1731.6,,1960.4,2024-10,,13,0.21,1803.1
Stefanos Tsitsipas,17,26.4,1928.1,,18,1861.2,5,1964.0,18,1765.2,,2133.3,2021-05,,12,0.35,
Casper Ruud,18,26.0,1928.0,,19,1860.1,6,1939.9,47,1682.3,,2063.7,2022-05,,5,1.28,1820.6
Felix Auger Aliassime,19,24.4,1924.7,,17,1868.7,16,1866.7,22,1756.4,,2052.8,2022-10,,23,-0.19,1945.2
Ugo Humbert,20,26.5,1921.5,,14,1901.1,25,1777.5,17,1766.9,,2009.4,2024-03,,15,0.29,1729.6
Lorenzo Musetti,21,22.8,1900.4,,31,1800.3,12,1888.6,12,1829.5,,1972.5,2024-08,,17,0.21,1700.8
Sebastian Korda,22,24.5,1899.2,,24,1840.7,41,1748.9,15,1779.2,,2005.0,2023-01,,22,0,1669.4
Karen Khachanov,23,28.6,1897.6,,20,1854.8,20,1833.3,37,1700.4,,2015.2,2018-10,,20,0.14,
Thanasi Kokkinakis,24,28.7,1897.1,,21,1851.9,26,1774.9,57,1666.3,,1905.3,2025-01,,72,-1.10,1738.1
Arthur Fils,25,20.6,1893.9,,25,1838.5,19,1836.6,23,1753.9,,1920.0,2024-10,,19,0.27,1754.7
Andrey Rublev,26,27.2,1883.1,,22,1842.8,14,1872.7,16,1774.8,,2106.1,2021-04,,10,0.96,
Jiri Lehecka,27,23.2,1876.6,,29,1824.5,44,1742.9,40,1691.7,,1908.4,2024-04,,24,0.12,1841.2
Jordan Thompson,28,30.7,1876.3,,26,1837.5,101,1646.5,19,1763.2,,1887.7,2025-01,,28,0,1720.3
Alex Michelsen,29,20.4,1871.9,,27,1836.9,113,1616.0,33,1722.4,,1881.9,2025-01,,36,-0.22,1818.8
Joao Fonseca,30,18.4,1866.1,,23,1841.6,60,1711.7,81,1613.1,,1896.6,2025-01,,98,-1.18,1821.7
Jan Lennard Struff,31,34.7,1864.3,,52,1759.4,17,1847.4,26,1747.0,,1925.7,2024-07,,45,-0.37,
Jakub Mensik,32,19.3,1856.7,,30,1812.3,30,1768.3,72,1629.4,,1912.2,2024-10,,47,-0.38,1787.0
Rafael Nadal,33,38.4,1855.2,,49,1765.7,23,1817.7,50,1677.6,,2370.4,2009-05,,174,-1.66,
Marcos Giron,34,31.5,1843.8,,32,1799.2,78,1680.4,21,1756.8,,1843.8,2025-01,,41,-0.19,1790.0
Alexei Popyrin,35,25.4,1843.8,,35,1790.8,33,1764.1,42,1689.8,,1893.4,2024-08,,26,0.30,
Tallon Griekspoor,36,28.5,1841.2,,38,1786.9,31,1768.0,24,1750.1,,1925.2,2022-01,,43,-0.18,
Frances Tiafoe,37,26.9,1835.3,,34,1791.1,40,1749.7,25,1750.1,,1959.8,2023-06,,18,0.72,
Flavio Cobolli,38,22.7,1834.2,,33,1795.6,43,1748.4,76,1620.4,,1881.7,2024-12,,35,0.08,
Giovanni Mpetshi Perricard,39,21.5,1833.1,,39,1782.6,58,1712.8,32,1723.6,,1865.0,2024-12,,30,0.26,1715.8
Jacob Fearnley,40,23.5,1830.3,,36,1790.4,187,1525.1,36,1707.7,,1900.4,2024-10,,78,-0.67,1752.7
Denis Shapovalov,41,25.7,1827.6,,40,1780.2,29,1768.6,38,1695.0,,1970.2,2020-01,,54,-0.28,
Nishesh Basavareddy,42,19.7,1825.2,,37,1788.5,188,1522.6,82,1612.6,,1847.9,2025-01,,106,-0.93,1834.4
Juncheng Shang,43,19.9,1823.4,,41,1778.1,79,1679.5,45,1686.9,,1902.7,2024-09,,53,-0.21,1717.4
Francisco Cerundolo,44,26.4,1822.4,,54,1752.0,22,1819.8,55,1668.4,,1938.1,2023-07,,29,0.42,
Zizou Bergs,45,25.6,1820.9,,48,1765.9,49,1737.0,43,1687.5,,1836.0,2025-01,,61,-0.30,1808.3
Alejandro Davidovich Fokina,46,25.6,1815.4,,43,1774.5,37,1755.9,68,1636.3,,1928.3,2021-05,,59,-0.25,1709.9
Learner Tien,47,19.1,1812.3,,46,1771.0,216,1483.1,89,1606.1,,1812.3,2025-01,,81,-0.54,1776.2
Nuno Borges,48,27.9,1810.7,,44,1771.1,38,1751.3,97,1587.6,,1832.3,2025-01,,37,0.26,1766.5
Yoshihito Nishioka,49,29.3,1810.6,,42,1775.1,71,1696.1,64,1645.4,,1891.8,2023-01,,67,-0.31,1756.8
Roberto Bautista Agut,50,36.7,1801.3,,56,1745.8,46,1742.1,27,1742.4,,2014.6,2016-02,,52,-0.04,
Reilly Opelka,51,27.3,1799.0,,47,1768.1,48,1739.0,66,1637.7,,1936.4,2022-04,,145,-1.04,1815.3
Miomir Kecmanovic,52,25.4,1797.5,,59,1737.0,42,1748.9,58,1665.5,,1895.2,2022-04,,55,-0.06,1808.2
Andy Murray,53,37.0,1796.8,,55,1747.4,45,1742.8,20,1759.7,,2347.3,2017-01,,,,
Lorenzo Sonego,54,29.6,1796.2,,53,1758.2,55,1718.8,56,1666.5,,1887.9,2021-05,,34,0.46,1825.8
Benjamin Bonzi,55,28.5,1791.5,,51,1762.2,109,1626.7,53,1671.9,,1816.2,2022-06,,62,-0.12,1724.9
Matteo Arnaldi,56,23.8,1787.9,,58,1738.9,32,1766.0,71,1633.3,,1886.8,2024-06,,39,0.36,
Yibing Wu,57,24.9,1785.4,,45,1771.0,106,1635.7,102,1578.2,,1874.7,2023-03,,403,-1.96,
Roman Safiullin,58,27.4,1784.1,,61,1735.1,59,1712.5,44,1687.2,,1894.2,2024-01,,69,-0.17,
Brandon Nakashima,59,23.4,1783.3,,62,1733.3,56,1717.2,46,1684.0,,1897.5,2021-11,,42,0.34,
Emil Ruusuvuori,60,25.3,1779.2,,50,1762.9,91,1661.5,60,1661.2,,1880.8,2023-06,,142,-0.86,
Pablo Carreno Busta,61,33.5,1776.2,,60,1736.3,27,1774.8,88,1606.4,,2001.9,2021-08,,149,-0.89,1588.4
Fabian Marozsan,62,25.3,1774.2,,57,1744.2,75,1685.1,99,1585.8,,1854.4,2024-03,,57,0.08,1721.2
Tomas Martin Etcheverry,63,25.5,1772.3,,66,1718.2,39,1751.3,132,1546.2,,1845.3,2023-05,,40,0.45,1649.8
Marton Fucsovics,64,32.9,1771.2,,71,1710.9,51,1730.5,34,1722.1,,1924.6,2021-03,,96,-0.41,1599.5
Nicolas Jarry,65,29.2,1770.1,,74,1700.7,36,1760.9,63,1646.4,,1892.7,2023-10,,38,0.54,
Roberto Carballes Baena,66,31.8,1769.5,,75,1698.4,47,1739.1,101,1579.1,,1775.5,2024-10,,51,0.26,1746.6
